article,country,year_start,year_end,financing
myers2005,usa,2001,2002,public
vangessel1995,usa,1991,1992,public
silva2011,brazil,2006,2006,public
tharp1999,usa,1996,1997,NA
gower2003,usa,1998,1999,mixed
solie1991,usa,1989,1990,mixed
cox2006,usa,2003,2004,NA
rueda2011,denmark,2009,2009,foundation
rueda2011,germany,2009,2009,foundation
monks1996,usa,1992,1993,NA
zhang1996,canada,1983,1992,NA
nurse2007,usa,2001,2002,mixed
kolb2012,usa,2009,2010,public
gholamhoseini2013,iran,2010,2011,NA
iffat2010,pakistan,2005,2005,NA
clay1998,usa,1992,1994,public
scott1995,usa,1979,1993,NA
epperlein2014,germany,2012,2012,public
garcia2007,spain,1996,2000,NA
iqbal1999,uk,1993,1993,public
ponce1995,spain,1992,1993,public
khaliq2013,pakistan,2009,2010,NA
bijanzadeh2010,iran,2004,2005,public
hamouz2013,bohemia,2011,2011,NA
fahad2015,pakistan,2009,2011,public
lima2010,brazil,2004,2004,NA
malik2009,pakistan,2005,2007,NA
